,symbols,date,close,open,max_price,min_price
2888,HPG,2022-03-10,49150.0,50000.0,50100.0,49100.0
2889,TCB,2022-03-10,49250.0,49800.0,49800.0,49250.0
2890,HPG,2022-03-09,49850.0,50000.0,50300.0,48850.0
2891,POW,2022-03-09,16750.0,17300.0,17400.0,16750.0
2892,FPT,2022-03-09,95500.0,94600.0,96500.0,94600.0
2893,VHM,2022-03-09,74000.0,75000.0,75000.0,73800.0
2894,TCB,2022-03-09,49100.0,49000.0,49350.0,48900.0
2895,TCB,2022-03-08,49000.0,49000.0,49500.0,48800.0
2896,HPG,2022-03-08,49450.0,50600.0,51200.0,49450.0
2897,POW,2022-03-08,17200.0,17000.0,17500.0,16900.0
2898,FPT,2022-03-08,94800.0,93800.0,95400.0,92600.0
2899,VHM,2022-03-08,74600.0,75900.0,76500.0,74600.0
2900,VHM,2022-03-07,76200.0,77200.0,77200.0,75800.0
2901,TCB,2022-03-07,49250.0,49500.0,49600.0,49100.0
2902,POW,2022-03-07,17050.0,17200.0,17200.0,16900.0
2903,HPG,2022-03-07,51100.0,50200.0,52500.0,50000.0
2904,FPT,2022-03-07,93800.0,93100.0,93900.0,92200.0
2905,FPT,2022-03-04,93500.0,93300.0,93800.0,93000.0
2906,VHM,2022-03-04,77900.0,78000.0,78500.0,77200.0
2907,TCB,2022-03-04,49950.0,49750.0,50400.0,49500.0
2908,POW,2022-03-04,17300.0,17200.0,17600.0,17150.0
2909,HPG,2022-03-04,49800.0,51000.0,51300.0,49800.0
2910,HPG,2022-03-03,50100.0,47600.0,50100.0,47300.0
2911,TCB,2022-03-03,49650.0,49500.0,49900.0,49150.0
2912,POW,2022-03-03,17200.0,17450.0,17650.0,17100.0
2913,VHM,2022-03-03,78000.0,77900.0,78500.0,77200.0
2914,FPT,2022-03-03,93400.0,93200.0,94000.0,93200.0
2915,FPT,2022-03-02,93100.0,93000.0,93400.0,92700.0
2916,TCB,2022-03-02,49200.0,50100.0,50100.0,49200.0
2917,VHM,2022-03-02,77500.0,77700.0,78000.0,77000.0
2918,HPG,2022-03-02,46900.0,47000.0,47350.0,46600.0
2919,POW,2022-03-02,17450.0,17450.0,17900.0,17250.0
2920,VHM,2022-03-01,78000.0,77500.0,78200.0,77500.0
2921,POW,2022-03-01,17450.0,17250.0,17700.0,16850.0
2922,TCB,2022-03-01,50300.0,50700.0,50700.0,50100.0
2923,HPG,2022-03-01,46900.0,47700.0,48100.0,46850.0
2924,FPT,2022-03-01,93400.0,94000.0,94000.0,92500.0
2925,VHM,2022-02-28,77500.0,78300.0,78600.0,77500.0
2926,POW,2022-02-28,17350.0,17850.0,18000.0,17300.0
2927,TCB,2022-02-28,50400.0,50500.0,50900.0,50200.0
2928,FPT,2022-02-28,93300.0,92300.0,93500.0,92300.0
2929,HPG,2022-02-28,47200.0,46050.0,47800.0,46050.0
2930,FPT,2022-02-25,92300.0,92400.0,93400.0,92100.0
2931,TCB,2022-02-25,50700.0,51000.0,51300.0,50500.0
2932,VHM,2022-02-25,78300.0,79000.0,79300.0,78300.0
2933,HPG,2022-02-25,45900.0,46100.0,46350.0,45900.0
2934,POW,2022-02-25,17850.0,18000.0,18150.0,17750.0
2935,POW,2022-02-24,17750.0,18200.0,18400.0,17350.0
2936,VHM,2022-02-24,78600.0,79300.0,79500.0,77100.0
2937,HPG,2022-02-24,46000.0,46750.0,46850.0,45100.0
2938,FPT,2022-02-24,92000.0,93000.0,93500.0,90000.0
2939,TCB,2022-02-24,50500.0,51500.0,51900.0,49800.0
2940,POW,2022-02-23,18150.0,17950.0,18600.0,17900.0
2941,FPT,2022-02-23,93000.0,92600.0,93900.0,92600.0
2942,VHM,2022-02-23,79400.0,79800.0,80300.0,79300.0
2943,TCB,2022-02-23,51700.0,51700.0,52200.0,51400.0
2944,HPG,2022-02-23,46700.0,46650.0,47200.0,46250.0
2945,FPT,2022-02-22,92900.0,93000.0,93300.0,92000.0
2946,VHM,2022-02-22,79300.0,79300.0,79500.0,78400.0
2947,HPG,2022-02-22,46400.0,46300.0,46600.0,45700.0
2948,POW,2022-02-22,17800.0,18200.0,18250.0,17500.0
2949,TCB,2022-02-22,51400.0,51000.0,51700.0,50600.0
2950,FPT,2022-02-21,93500.0,92200.0,94000.0,92000.0
2951,TCB,2022-02-21,51500.0,51600.0,51700.0,50800.0
2952,VHM,2022-02-21,80000.0,80000.0,80500.0,79700.0
2953,POW,2022-02-21,18400.0,18550.0,18700.0,18350.0
2954,HPG,2022-02-21,46650.0,47100.0,47500.0,46550.0
2955,HPG,2022-02-18,47050.0,46200.0,47650.0,46050.0
